source,word,action
triage-pass-1,prox,ditch
triage-pass-1,quackery,keep
triage-pass-1,quai,ditch
triage-pass-1,quantize,keep
triage-pass-1,ques,ditch
triage-pass-1,quin,ditch
triage-pass-1,quincunx,ditch
triage-pass-1,quixotic,keep
triage-pass-1,quot,ditch
triage-pass-1,raze,keep
triage-pass-1,squeezer,keep
triage-pass-1,squeezes,keep
triage-pass-1,subj,ditch
triage-pass-1,terrazzo,ditch
triage-pass-1,tzar,keep
triage-pass-1,wack,keep
triage-pass-1,wavy,keep
triage-pass-1,whew,keep
triage-pass-1,whey,keep
triage-pass-1,whys,keep
triage-pass-1,wick,keep
triage-pass-1,yack,keep
triage-pass-1,yuck,keep
triage-pass-1,zarzuela,ditch
triage-pass-1,zeal,keep
triage-pass-1,zens,ditch
triage-pass-1,zest,keep
triage-pass-1,zeta,keep
triage-pass-1,zine,keep
triage-pass-1,ziti,keep
triage-pass-1,zits,keep
triage-pass-1,zool,ditch
triage-pass-1,zoon,ditch
triage-pass-1,zoos,keep
triage-pass-1,drizzling,keep
triage-pass-1,jackknife,keep
triage-pass-1,jukeboxes,keep
triage-pass-1,maximizer,keep
triage-pass-1,maximizes,keep
triage-pass-1,mezzanine,keep
triage-pass-1,mezzotint,ditch
triage-pass-1,pizzerias,keep
triage-pass-1,amaze,keep
triage-pass-1,baize,ditch
triage-pass-1,bazar,ditch
triage-pass-1,bedazzling,keep
triage-pass-1,bevvy,ditch
triage-pass-1,bezel,keep
triage-pass-1,bozos,keep
triage-pass-1,braze,ditch
triage-pass-1,buxom,keep
triage-pass-1,byway,keep
triage-pass-1,chaff,keep
triage-pass-1,chewy,keep
triage-pass-1,chiffchaff,ditch
triage-pass-1,chock,keep
triage-pass-1,chuff,ditch
triage-pass-1,cocky,keep
triage-pass-1,cozen,ditch
triage-pass-1,craze,keep
triage-pass-1,czars,keep
triage-pass-1,dazed,keep
triage-pass-1,dozed,keep
triage-pass-1,faxed,keep
triage-pass-1,fjord,keep
triage-pass-1,flyby,keep
triage-pass-1,foxed,keep
triage-pass-1,gawky,keep
triage-pass-1,gazed,keep
triage-pass-1,hadji,ditch
triage-pass-1,hexed,keep
triage-pass-1,jakes,ditch
triage-pass-1,jambs,keep
triage-pass-1,jawed,keep
triage-pass-1,jehad,ditch
triage-pass-1,jerks,keep
triage-pass-1,jihad,keep
triage-pass-1,jinks,keep
triage-pass-1,joyed,ditch
triage-pass-1,jumbo,keep
triage-pass-1,junks,keep
triage-pass-1,kanji,keep
triage-pass-1,kayak,keep
triage-pass-1,khaki,keep
triage-pass-1,kinky,keep
triage-pass-1,kooky,keep
triage-pass-1,maize,keep
triage-pass-1,matzo,keep
triage-pass-1,maxim,keep
triage-pass-1,mazer,ditch
triage-pass-1,mazes,keep
triage-pass-1,miffy,ditch
triage-pass-1,mirza,ditch
triage-pass-1,mixup,keep
triage-pass-1,mizen,ditch
triage-pass-1,mucky,keep
triage-pass-1,picky,keep
triage-pass-1,pique,keep
triage-pass-1,pocky,ditch
triage-pass-1,puffy,keep
triage-pass-1,puzzlement,keep
triage-pass-1,pygmy,keep
triage-pass-1,qibla,ditch
triage-pass-1,qualm,keep
triage-pass-1,quips,keep
triage-pass-1,spitz,keep
triage-pass-1,squab,ditch
triage-pass-1,squib,keep
triage-pass-1,topaz,keep
triage-pass-1,unzip,keep
triage-pass-1,vexed,keep
triage-pass-1,waxed,keep
triage-pass-1,zebra,keep
triage-pass-1,zigzagging,keep
triage-pass-1,zooms,keep
triage-pass-1,chukka,keep
triage-pass-1,eczema,keep
triage-pass-1,efflux,ditch
triage-pass-1,fixity,ditch
triage-pass-1,glitzy,keep
triage-pass-1,hazing,keep
triage-pass-1,jackal,keep
triage-pass-1,joyful,keep
triage-pass-1,kazoos,keep
triage-pass-1,keyway,ditch
triage-pass-1,quahog,keep
triage-pass-1,quakes,keep
triage-pass-1,quarks,keep
triage-pass-1,quirks,keep
triage-pass-1,shaykh,ditch
triage-pass-1,skyway,keep
triage-pass-1,squeak,keep
triage-pass-1,suffix,keep
triage-pass-1,vizard,ditch
triage-pass-1,whammy,keep
triage-pass-1,zapper,keep
triage-pass-1,zipper,keep
triage-pass-1,zygote,keep
triage-pass-1,bazooka,keep
triage-pass-1,carjack,keep
triage-pass-1,coxcomb,ditch
triage-pass-1,hypoxia,keep
triage-pass-1,jinxing,keep
triage-pass-1,kumquat,keep
triage-pass-1,liquefy,keep
triage-pass-1,liquify,keep
triage-pass-1,lockbox,keep
triage-pass-1,mazurka,ditch
triage-pass-1,pharynx,keep
triage-pass-1,pickaxe,keep
triage-pass-1,quicken,keep
triage-pass-1,quickie,keep
triage-pass-1,squashy,keep
triage-pass-1,squishy,keep
triage-pass-1,wheezes,keep
triage-pass-1,xeroxed,keep
triage-pass-1,zygotic,ditch
triage-pass-1,checkoff,ditch
triage-pass-1,gazpacho,keep
triage-pass-1,hijacked,keep
triage-pass-1,hydroxyl,ditch
triage-pass-1,jackdaws,keep
triage-pass-1,jockeyed,keep
triage-pass-1,lysozyme,ditch
triage-pass-1,oxidizer,keep
triage-pass-1,oxidizes,keep
triage-pass-1,physique,keep
triage-pass-1,squawked,keep
triage-pass-1,squelchy,keep
triage-pass-1,waxworks,keep
triage-pass-1,dizziness,keep
triage-pass-1,equalized,keep
triage-pass-1,grizzlies,keep
triage-pass-1,hydrolyze,ditch
triage-pass-1,kamikazes,keep
triage-pass-1,kibbutzim,ditch
triage-pass-1,quantized,keep
triage-pass-1,schmaltzy,keep
triage-pass-1,squeezing,keep
triage-pass-1,blackjacks,keep
triage-pass-1,jackknifed,keep
triage-pass-1,maximizing,keep
triage-pass-1,jabberwocky,keep
triage-pass-1,achy,keep
triage-pass-1,affixed,keep
triage-pass-1,axed,keep
triage-pass-1,azide,ditch
triage-pass-1,azimuth,keep
triage-pass-1,benzoyl,ditch
triage-pass-1,bevy,keep
triage-pass-1,biff,keep
triage-pass-1,blazed,keep
triage-pass-1,blowjob,keep
triage-pass-1,bock,keep
triage-pass-1,boozed,keep
triage-pass-1,boxed,keep
triage-pass-1,brazed,ditch
triage-pass-1,caff,ditch
triage-pass-1,cashbox,keep
triage-pass-1,cavy,ditch
triage-pass-1,cervix,keep
triage-pass-1,chalky,keep
triage-pass-1,chappy,ditch
triage-pass-1,chaw,ditch
triage-pass-1,chickenpox,keep
triage-pass-1,chippy,ditch
triage-pass-1,choppy,keep
triage-pass-1,chorizo,keep
triage-pass-1,chow,keep
triage-pass-1,chubby,keep
triage-pass-1,chummy,keep
triage-pass-1,chunky,keep
triage-pass-1,cliquey,keep
triage-pass-1,codex,keep
triage-pass-1,coenzyme,ditch
triage-pass-1,coff,ditch
triage-pass-1,convex,keep
